#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=Time:R4:0
#@   col=V1:R4:1
#@   col=V2:R4:2
#@   col=V3:R4:3
#@   col=V4:R4:4
#@   col=V5:R4:5
#@   col=V6:R4:6
#@   col=V7:R4:7
#@   col=V8:R4:8
#@   col=V9:R4:9
#@   col=V10:R4:10
#@   col=V11:R4:11
#@   col=V12:R4:12
#@   col=V13:R4:13
#@   col=V14:R4:14
#@   col=V15:R4:15
#@   col=V16:R4:16
#@   col=V17:R4:17
#@   col=V18:R4:18
#@   col=V19:R4:19
#@   col=V20:R4:20
#@   col=V21:R4:21
#@   col=V22:R4:22
#@   col=V23:R4:23
#@   col=V24:R4:24
#@   col=V25:R4:25
#@   col=V26:R4:26
#@   col=V27:R4:27
#@   col=V28:R4:28
#@   col=Amount:R4:29
#@   col=Label:BL:30
#@ }
Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Label
101748;-0.23666693;0.9382196;0.6469892;1.7840296;0.8747835;-0.27106687;1.055732;-0.2490914;-0.57740474;0.28535104;0.22454849;-3.004313;1.7193913;1.6729813;-1.3465836;0.05690472;0.8485489;-0.89667106;-0.026663302;0.18153559;-0.16935787;-0.4247203;0.28018725;1.1138437;-0.9986832;2.1084352;-0.0674125;0.16805883;68.17;0
11080;-2.1254897;5.9735556;-11.034727;9.007147;-1.6894505;-2.8544152;-7.8104405;2.03087;-5.902828;-12.840934;12.018913;-17.769144;-0.43103567;-19.214325;-0.9624646;-10.266609;-15.503392;-5.4949274;-0.41048098;1.4937747;1.6465183;-0.27848452;-0.6648413;-1.1645553;1.7017964;0.6908056;2.1197488;1.1089334;1;1
111093;2.0958796;0.0652582;-1.4314549;0.31276894;0.44051728;-0.62742084;0.048421573;-0.3279466;2.0626838;-0.47630915;-0.012147219;-2.3165123;1.6940461;1.9076608;0.2369092;-0.266023;0.13580182;0.39738703;-0.34939986;-0.27004224;0.10020671;0.6900914;-0.0031240063;0.3751887;0.35121703;-0.46953478;-0.020659838;-0.056915797;1;0
114382;0.043421272;1.1983048;0.4031289;2.8744159;1.0711515;0.41655073;0.7835452;0.09122148;-1.0291561;0.9163335;-1.9227037;-0.94281346;-1.1009333;0.02821491;-1.8664652;0.47772115;-0.6054846;-0.31263036;-1.6134046;-0.35829517;0.20807296;0.61543244;-0.005590674;0.6375803;-0.7094897;-0.11262749;-0.0059453;0.13679582;3.94;0
114802;1.8785626;0.020784615;-1.6211133;2.9088128;2.5078475;4.709442;-0.83062595;1.1361537;-0.3957546;1.3114128;-0.9456849;-0.007911417;-0.34191364;-0.12132371;-1.5313879;0.30365196;-0.47143352;-0.592712;-1.3886807;-0.25205284;0.07999839;0.4043273;0.12109822;0.70753765;0.14009963;0.15568426;0.016374948;-0.053891696;0;0
117006;1.9822851;-0.15508561;-1.2408683;0.27176642;0.082673654;-0.7128776;0.15360612;-0.1716326;0.5215131;0.060894072;0.64690423;1.0887783;-0.10090168;0.54368025;-0.49410492;-0.050122414;-0.6644058;-0.047839053;0.5834276;-0.1897728;-0.2126478;-0.54083747;0.22265813;-0.37089914;-0.11404033;-0.5855922;-0.019461123;-0.058956854;26.34;0
12095;-4.7277126;3.044469;-5.5983543;5.9281907;-2.1907697;-1.529323;-4.487422;0.9163918;-1.3070104;-4.138891;5.149409;-11.124019;0.54306775;-7.8409424;0.7436339;-6.777069;-9.931766;-4.093021;1.5049249;-0.20775944;0.6509882;0.25498328;0.6288435;-0.23812845;-0.67133236;-0.033590063;-1.3317773;0.7056976;30.39;1
123996;-0.20365429;1.1161476;-0.48579964;-0.50644463;0.5851713;-1.3442504;0.9535762;-0.21238688;0.41300392;-0.69226676;-0.83401054;-1.1851574;-1.8174475;-0.609089;0.7166462;0.23467396;0.39440835;0.7566304;-0.6895738;-0.17145318;0.23968847;0.7334544;-0.2566293;-0.20430401;-0.025648333;-0.17141207;0.03289629;0.12234153;5.39;0
124223;-2.0122116;0.9303183;-0.6063569;0.2775373;0.014737429;0.3652847;-1.8665684;-2.5129738;0.52886355;-0.047084227;1.0920166;0.9065244;-0.1282978;-0.8144936;0.27422822;0.811585;0.87723106;0.8355541;0.7275353;-0.9875593;2.7915084;-1.6008359;0.17650321;0.59047383;-0.9308408;0.23606434;0.2491995;-0.17170942;12;0
124858;0.02405803;0.7319325;0.1284234;-0.7942428;0.6083203;-0.5142925;0.8122038;0.0474842;-0.12850842;-0.21910203;0.29794735;0.1921741;-0.9922167;0.48605025;-0.91950434;0.20659404;-0.69164276;-0.092130885;0.29128155;-0.089152455;-0.24188691;-0.5890646;0.020947745;-0.4996374;-0.5154231;0.15406257;0.24039875;0.08034198;0.89;0
