#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=Time:R4:0
#@   col=V1:R4:1
#@   col=V2:R4:2
#@   col=V3:R4:3
#@   col=V4:R4:4
#@   col=V5:R4:5
#@   col=V6:R4:6
#@   col=V7:R4:7
#@   col=V8:R4:8
#@   col=V9:R4:9
#@   col=V10:R4:10
#@   col=V11:R4:11
#@   col=V12:R4:12
#@   col=V13:R4:13
#@   col=V14:R4:14
#@   col=V15:R4:15
#@   col=V16:R4:16
#@   col=V17:R4:17
#@   col=V18:R4:18
#@   col=V19:R4:19
#@   col=V20:R4:20
#@   col=V21:R4:21
#@   col=V22:R4:22
#@   col=V23:R4:23
#@   col=V24:R4:24
#@   col=V25:R4:25
#@   col=V26:R4:26
#@   col=V27:R4:27
#@   col=V28:R4:28
#@   col=Amount:R4:29
#@   col=Label:BL:30
#@ }
Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Label
100501;-6.9852676;5.1510935;-4.5993376;4.5344787;0.849054;-0.2107012;-4.4252295;-5.1345253;0.069320574;-0.87099713;5.200815;-7.802228;0.033912417;-7.560132;-1.0146519;-1.5079296;-3.4102745;0.107544005;-1.3755176;-1.2469963;5.453672;-2.0561771;-0.28033373;0.120771475;0.5693577;0.14597146;0.30019346;1.7793639;0.76;1
101597;0.91311616;1.1453811;-4.602878;2.0918033;-0.47322387;-2.0854359;-1.671244;0.094396584;0.33779877;-4.4318094;4.8719797;-5.395221;1.3325021;-4.6037965;-0.77731353;-2.5718915;-3.0036154;-0.22544138;0.25227356;0.50898474;0.40141574;-0.084933415;-0.19768444;-0.28327107;0.38759732;-0.553527;0.51627445;0.2708282;147.87;1
102318;-1.0206317;1.4969591;-4.490937;1.836727;0.62731844;-2.7355685;-1.5462736;0.45982158;-0.6827414;-4.363102;4.2870207;-5.4037685;1.2602623;-3.0877428;-1.3174881;-3.5370562;-3.1720276;-0.5298851;1.0116265;0.44348854;0.773631;0.8606182;-0.30466646;-0.15549958;0.4121663;-0.22007965;0.3923376;-0.020089487;22.04;1
102480;-1.9295969;4.0664134;-4.865184;5.8986025;-0.55249256;-1.5559624;-3.8336234;0.67951167;-3.4637654;-6.683689;7.021278;-11.102493;1.711755;-10.447633;-2.799076;-6.2617407;-11.647158;-3.451436;-0.50753653;0.94248897;1.1372117;0.67424524;-0.53176546;-0.43340936;0.37865856;0.19810729;0.8696944;0.22804785;0;1
102671;-4.991758;5.21334;-9.111326;8.431987;-3.4355156;-1.8275651;-7.1143026;3.4312067;-3.8756428;-6.8685083;7.150625;-10.262984;2.733085;-10.127524;-0.26278362;-5.190271;-8.655711;-2.0244434;1.5604793;0.09813219;1.1894228;0.24785848;0.29444832;-0.5485035;-0.17461656;0.4067025;-0.40233928;-0.8828858;0;1
109862;2.0830662;0.11845055;-1.3385196;0.3506785;0.40776563;-0.7197144;0.09754149;-0.37779948;1.9491165;-0.49610382;0.2701126;-1.900747;2.3255162;1.7867372;0.15018573;-0.35227817;0.16648892;0.25423318;-0.42507273;-0.2335846;0.12026558;0.77929926;0.012247235;0.58254766;0.34849602;-0.48347422;-0.01606796;-0.05357315;1;0
110552;-2.4503667;2.1077287;-5.140663;1.4113035;-1.6907794;-0.7364272;-3.6579463;1.9449059;-0.78838754;-5.624677;3.5196424;-7.22159;1.201728;-3.811428;-1.701428;-3.5714083;-7.311407;-1.7543546;0.79544884;-0.13043821;0.8005381;0.36461666;0.2336076;-0.28207758;-0.32031098;0.49291998;0.35997644;-0.11547101;80.22;1
110617;-1.1010355;-1.6749281;-0.5733882;5.6175556;0.7655564;0.44060707;1.9347404;-1.0197875;-0.19324423;1.7837391;0.6069108;-2.8542755;2.379473;1.2681466;-0.28361908;-0.48219207;0.8110054;-0.3579107;0.75276095;-0.03831415;-0.41252583;-0.20882311;0.34483272;1.0914347;-0.68651277;0.07580892;0.033864737;-0.83285505;635.1;1
112414;2.0243206;-0.2264404;-1.4484414;0.0923952;0.08699651;-0.5914557;-0.08333643;-0.014375607;0.7821234;0.11841649;0.72235626;-0.017833838;-1.9902767;1.068265;0.45720926;-0.05145916;-0.6137831;0.7403315;0.026654875;-0.34854117;0.3031617;0.8965047;0.037944652;0.6750856;0.23408978;-0.46334144;-0.009713335;-0.061275233;1;0
114951;-1.1779023;-0.7925336;1.4239733;1.2543024;-0.65378463;0.16437155;1.5194764;-0.23182581;-0.07525671;-0.4044636;-1.0360711;-0.7359641;-0.50398904;-0.031823616;1.2040496;0.0019634876;-0.5057203;0.86328226;0.22040102;1.0085325;0.5005509;0.8722391;0.6705341;-0.018830199;0.059909306;-0.41294354;-0.12027343;-0.031836253;396;0
