#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=Time:R4:0
#@   col=V1:R4:1
#@   col=V2:R4:2
#@   col=V3:R4:3
#@   col=V4:R4:4
#@   col=V5:R4:5
#@   col=V6:R4:6
#@   col=V7:R4:7
#@   col=V8:R4:8
#@   col=V9:R4:9
#@   col=V10:R4:10
#@   col=V11:R4:11
#@   col=V12:R4:12
#@   col=V13:R4:13
#@   col=V14:R4:14
#@   col=V15:R4:15
#@   col=V16:R4:16
#@   col=V17:R4:17
#@   col=V18:R4:18
#@   col=V19:R4:19
#@   col=V20:R4:20
#@   col=V21:R4:21
#@   col=V22:R4:22
#@   col=V23:R4:23
#@   col=V24:R4:24
#@   col=V25:R4:25
#@   col=V26:R4:26
#@   col=V27:R4:27
#@   col=V28:R4:28
#@   col=Amount:R4:29
#@   col=Label:BL:30
#@ }
Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Label
100223;-19.641857;14.706335;-22.801237;12.114672;-14.898112;0.8407777;-28.011293;-11.919639;-8.960921;-18.913244;4.9712486;-12.686308;-1.0714431;-7.38337;-2.9924302;-8.582309;-13.806568;-6.0003586;1.4226316;3.834649;-8.228874;3.3181777;2.5852122;0.19500858;-1.194803;0.03842294;-4.126746;-0.64532924;2.28;1
100298;-22.341888;15.536134;-22.865229;7.0433736;-14.183129;-0.46314487;-28.215113;-14.607791;-9.481457;-20.949192;4.7395825;-11.924954;-1.5014111;-3.8367815;-2.7203288;-8.880106;-15.825136;-6.7504253;-0.12918815;4.100019;-9.110422;4.158895;1.4129285;0.38280067;0.44715396;-0.6328163;-4.380154;-0.46786287;1;1
100924;-23.984747;16.697832;-22.209875;9.584969;-16.230438;2.5963326;-33.239326;-21.56004;-10.8425255;-19.83615;3.2232327;-10.895134;-1.5234524;0.11630326;-3.0988054;-7.606425;-18.108261;-7.511866;-1.2432852;5.8045506;-12.615023;5.7740874;2.7502215;0.5134111;-1.6088037;-0.45962438;-4.626127;-0.33456072;1;1
101035;-1.3641182;0.71038747;0.4142224;-0.41385442;-0.24642913;0.10887969;-0.39475998;0.767738;1.3754052;-1.5561565;-1.3914263;-2.2765963;2.5793042;1.5226837;-0.83935696;0.7730582;0.091897815;0.8424912;-0.20880656;-0.22413313;0.21494336;0.6425635;-0.29994613;-0.9707694;-0.24466583;0.58987087;-0.24629886;-0.051644932;59.9;0
101051;-1.4653157;-1.0933769;-0.05976785;1.0647846;11.095089;-5.430971;-9.378025;-0.44645613;1.9921097;1.7859218;1.3685845;-1.4716966;-0.72475886;3.442422;-0.95740324;-1.6261294;1.4182149;-1.4179168;-1.6517662;-1.4576102;1.1606233;-1.2596968;-15.981649;-0.8836699;-3.5367162;-0.5929649;0.67552483;0.42484936;0.92;1
101303;1.9639171;-0.12762012;-0.10180905;0.6572214;-0.52575666;-0.5956088;-0.4698876;-0.21217322;2.3905952;-0.5784226;0.381672;-1.3538964;2.8651981;1.1803727;-0.16258131;0.05153631;0.18225116;-0.14906849;-0.3611471;-0.18890278;-0.30693993;-0.43808815;0.37076238;-0.08752271;-0.43121633;-0.66235805;0.01757593;-0.03381417;14.99;0
101313;-25.825983;19.167238;-25.39023;11.125435;-16.682644;3.9336994;-37.06031;-28.759798;-11.126623;-23.228254;3.7859771;-10.522494;-2.6574965;-3.7927954;-4.4989448;-6.5578732;-12.867245;-5.8045907;-1.2544653;7.907378;-16.922016;5.703684;3.5100188;0.054330226;-0.6719833;-0.20943137;-4.9500217;-0.44841278;2.28;1
101565;-1.0257721;0.8050962;1.1869885;1.0910074;-0.038024385;0.27323475;-0.26116735;0.6369028;1.2239857;-0.73554707;-0.5079816;-3.3170984;0.55776346;1.965307;0.5501115;0.1488975;0.53949094;1.1227138;0.0486181;0.12642922;0.16508497;0.54039705;-0.08641604;0.49967062;-0.014221115;-0.4137994;0.27112305;0.10347213;53.3;0
102114;-28.255053;21.467203;-26.871338;11.737436;-17.99963;6.0659013;-41.506798;-38.987263;-13.434067;-24.403185;3.4093227;-9.608268;-3.076318;0.24006036;-2.8366768;-6.594757;-12.957531;-5.613522;-0.2488284;10.440718;-21.453735;8.361985;4.909111;0.09832794;-1.5087391;0.008711291;-5.4078236;-0.18381104;0;1
102489;-2.2969875;4.0640435;-5.9577065;4.680008;-2.0809376;-1.4632722;-4.4908466;1.0292463;-1.5932492;-8.993811;7.8644676;-10.649839;1.826591;-12.913631;-0.7663303;-7.9540977;-7.809635;-1.7185112;3.8329852;1.2649539;1.0890841;0.9753978;-0.62553036;-0.5351809;0.24743503;0.16039951;0.9695816;0.33504128;104;1
102542;-1.4568763;3.7403057;-7.4045186;7.440964;-1.549878;-1.6616969;-5.757213;1.615011;-2.1948807;-6.807135;6.8257933;-10.399749;1.8364488;-11.872845;-3.6423926;-6.044103;-9.750776;-3.1163723;0.06531715;0.52955735;0.9578974;0.14533947;-0.0447039;-0.5449617;-0.75775653;-0.005352369;0.31815228;-0.32355362;2.28;1
102572;-28.709229;22.05773;-27.855812;11.845013;-18.983812;6.4741144;-43.557243;-41.044262;-13.320155;-24.588263;3.4819517;-9.128342;-3.0082555;0.79657996;-2.1022985;-5.6603665;-13.032785;-5.3923492;-0.9010408;11.059004;-22.797604;8.316276;5.46623;0.02385423;-1.5271447;-0.14522518;-5.682338;-0.43913367;0.01;1
102619;-2.4883628;4.3590193;-7.7764096;5.3640265;-1.8238772;-2.4451401;-4.964221;1.4848901;-2.9478989;-7.1753497;7.3436522;-10.178995;2.1421506;-8.983052;-0.47374603;-8.143342;-9.785677;-3.0865195;3.3797133;0.7922747;1.3256724;1.0212262;-0.2664762;-0.37088045;0.3655352;0.08137202;0.18498304;-0.21158245;1;1
102622;-2.8771765;4.5696487;-9.553069;4.441079;-3.6539614;-1.8779808;-3.5143535;1.547608;-2.503304;-7.5756345;7.0021358;-9.959194;2.122072;-8.8848715;-1.6448575;-7.189926;-10.445105;-3.2719076;1.4822774;0.10561511;1.2728963;1.3002684;-0.0039501335;-0.36084777;-0.597526;-0.39090124;0.59219694;-0.24101016;346.94;1
102625;-4.221221;2.8711207;-5.8887157;6.890952;-3.4048944;-1.1543939;-7.7399282;2.8513632;-2.5075686;-5.110728;5.3508897;-9.299808;2.7931404;-6.106552;-2.106947;-6.2506294;-13.566325;-4.19278;0.51057017;-0.2278815;1.6205913;1.567947;-0.57800746;-0.05904481;-1.8291688;-0.07242872;0.1367343;-0.59984756;7.59;1
102669;-5.60369;5.222193;-7.51683;8.117724;-2.7568579;-1.5745646;-6.3303432;2.9984188;-4.508167;-7.3343773;7.188724;-10.655181;2.5946798;-10.242859;-0.19115812;-5.504334;-8.697778;-1.9342253;1.9587499;0.227526;1.2428962;0.42840838;-0.10118359;-0.5201991;-0.17693776;0.46144998;-0.106625184;-0.47966194;0;1
102676;-5.552122;5.678134;-9.775528;8.416295;-4.409844;-1.5062354;-6.899839;3.750443;-3.8797925;-6.8641644;7.051065;-10.137529;2.8154397;-9.909168;-0.26222956;-5.0225573;-8.522975;-2.012939;1.5257324;-0.06478014;1.1284722;0.22848405;0.28625765;-0.5362941;-0.10492489;0.42091924;-0.29755688;-0.9461844;119.74;1
103808;-4.5173435;2.5002239;-4.0139275;1.1894516;-2.4868608;-1.4134755;-4.2457066;1.2650869;1.1688278;-4.5139065;3.6947112;-6.110443;-0.11052164;-4.184555;-0.9310346;-1.6147183;-3.3531802;0.23676203;0.0038960222;-1.0561622;1.3269442;0.102998964;0.5081669;-0.27801755;0.1397211;0.06461003;-0.9723583;0.35135958;2.27;1
105208;0.080319144;0.9792404;1.6037233;1.0964049;-0.15265189;-0.075929865;0.20754783;-0.33184782;1.6522447;-0.06866008;0.5795185;-2.142474;2.657407;1.1798177;1.5248333;-1.1317403;0.93979806;0.55889136;2.2652838;0.38862807;-0.21422805;0.13074346;0.051315207;-0.07673828;-1.0679805;-0.6193146;0.24779667;0.06477587;4.95;0
106558;1.8814119;0.5713633;-0.6181102;3.8651;0.3567368;-0.23431848;0.054816645;-0.08861846;0.12512396;1.3889029;1.3576667;-3.002739;0.000839242;2.3695955;-1.5877907;1.1210347;-0.31450668;0.7098746;-1.6840554;-0.40618533;0.12402447;0.4795895;0.082419194;-0.037171543;0.0028716964;0.07257552;-0.08889378;-0.06915199;15.28;0
109297;0.7451532;2.809299;-5.8254066;5.8355665;0.51231986;-0.61562234;-2.9165757;0.77671003;-1.8788319;-4.5469356;4.6987953;-8.507786;0.7182493;-7.6287103;-2.2495785;-2.5586686;-5.3046236;-0.95693845;-0.58532184;0.40283674;0.2848407;-0.8743835;-0.083995044;-0.65144163;0.45459384;0.050375897;0.7569526;0.38386893;0;1
109298;-1.0006105;3.34685;-5.534491;6.835802;-0.2998033;0.0959513;-2.4404192;1.2863013;-2.7664382;-4.458008;4.696533;-8.762114;0.9858266;-7.320272;-1.0638405;-3.3711247;-4.2511578;-0.4300573;1.8040134;1.1898137;0.43975675;-0.6940992;0.29966033;-0.65760064;0.101647556;0.43045744;0.82468545;0.32695228;186.13;1
110047;2.193238;-0.43388146;-2.6553528;-0.9888946;1.2720739;0.1844858;0.17823052;-0.31161913;0.113084994;0.4053717;0.6586374;-2.679291;2.3502355;1.7663444;-0.53076375;-0.7492379;1.9134519;-2.7783818;-0.38124362;-0.10448797;0.39241353;1.562596;-0.15882197;-0.4988946;0.61805135;0.3365606;-0.07416329;-0.103631936;20;0
110087;1.9349464;0.65067774;-0.28695706;3.987828;0.31605184;-0.099449374;-0.021483159;-0.1723273;0.50873005;1.0729553;-0.4275674;-2.7776492;1.6371402;1.5710801;-1.4453669;0.9086496;-0.122016065;-0.10410992;-1.6840216;-0.3444521;-0.17360163;-0.19097358;0.21997558;-0.21659654;-0.13669188;-0.12995365;-0.050076835;-0.051081896;1;1
110334;-0.23469175;1.1667311;-0.6826833;-0.4668484;0.7633448;-0.19072919;0.37665135;0.39787275;1.0192745;-0.69122505;1.0061722;-2.4497511;0.6431153;2.5482366;-0.7790459;-0.0024043657;0.103645116;1.1946825;0.23900288;-0.19273931;0.27092886;1.0523262;-0.077894;0.16810131;-0.790545;-0.27294114;0.34471154;0.24328429;4.31;0
110547;-1.5328103;2.2327518;-5.9231;3.3867085;-0.15344334;-1.4197477;-3.8785763;1.4446559;-1.4655422;-5.2083344;4.546301;-7.761194;1.1595403;-5.2316113;-0.17164212;-4.7198296;-4.847992;-1.1343287;3.5277383;0.52083987;0.6325047;-0.07083795;-0.49029133;-0.35998312;0.050677534;1.0956713;0.4717414;-0.10666714;0.76;1
11092;0.3782745;3.9147968;-5.726872;6.094141;1.6988753;-2.807314;-0.5911182;-0.12349559;-2.5307128;-5.153095;4.6540885;-7.839539;1.3718185;-9.634689;-0.73959684;-0.66320395;0.8919345;0.97867566;-2.0054767;0.44043943;0.14989568;-0.6019673;-0.61372435;-0.4031137;1.5684452;0.5218839;0.52793777;0.4119104;1;1
111233;0.12677214;0.7099271;0.48661292;-0.941173;0.40323213;-1.0598269;0.53293335;-1.1506503;1.4064083;-1.2756406;-0.07035412;-2.366275;1.0802952;1.7805597;-1.6349258;0.42215905;-0.023536619;-0.6796197;-1.5863249;-0.5181353;0.30023214;-1.409163;-0.1193403;-0.03678776;0.7415449;0.05108081;0.038592946;0.20577608;6.54;0
11131;-1.4266233;4.1419864;-9.804104;6.666273;-4.749527;-2.073129;-10.0899315;2.7913454;-3.2495155;-11.420451;10.853012;-15.969208;0.5466901;-14.690729;0.9123374;-12.227189;-18.587366;-6.920762;3.1669989;1.4106777;1.8656788;0.4078093;0.60580933;-0.76934814;-1.7463368;0.5020395;1.9772583;0.7116065;1;1
111420;-2.854724;0.8685204;-1.0645542;-1.3114998;1.7621249;-0.44140106;2.492406;-1.3623518;2.342958;1.8890574;1.8816545;-2.623009;1.086214;1.0605525;-0.95874685;-0.5975178;-0.47701457;0.24939261;0.25344172;-0.6323518;-0.5563828;0.65135354;0.18702385;0.2281557;0.70175797;0.07815383;-0.33056536;-0.21143043;100;0
112532;-0.6563878;0.5384903;-2.5228927;1.6280025;-2.2378106;0.79388875;5.1282816;-1.6902553;-0.47388065;-0.8549679;0.60024184;-1.5421115;-0.28210738;-3.3518932;2.0029395;-0.015327096;2.812864;1.3123919;2.2460768;-0.64158785;-0.4722138;0.5139282;0.29394078;-0.06993909;-0.8948754;0.9715691;0.30424199;-0.52981144;828;0
112895;1.6369566;-0.53142446;-1.9883858;0.5006776;0.20382465;-0.73005253;0.4109264;-0.29729632;0.84819657;-0.9690961;-0.43851912;0.7653366;0.9233245;-1.6174011;-0.16157;0.02024583;0.9634979;0.006745889;0.10737161;0.3364484;-0.12214875;-0.54912126;0.011761146;0.5835828;-0.07262379;-0.14303231;-0.044736423;0.023108207;218.58;0
112896;1.8258818;-0.31975937;-0.36169678;1.6173303;-0.44018006;-0.23312357;-0.18001086;-0.017759923;1.1835592;-0.040845495;-1.3274188;0.7046793;-0.2460331;-0.24311605;-1.1518377;-0.45539144;-0.012414768;-0.9337803;0.14952889;-0.19227584;-0.49106532;-1.2303635;0.38942626;-0.16728617;-0.34626803;-1.1033365;0.047322106;-0.022154171;61.66;0
113005;2.120663;-0.009133166;-1.7224045;0.011453027;0.6151359;-0.4362182;0.1783627;-0.2606034;0.7028516;-0.12485336;-1.1927563;0.41871932;0.79252976;0.31631655;0.9292259;-0.15494989;-0.7760018;0.1684778;-0.0043261903;-0.17124498;0.23288086;0.8597025;-0.07094717;0.06559976;0.44884622;-0.4090984;0.0099456515;-0.05300155;1;0
114150;-0.500678;1.6740451;0.40434292;4.147442;0.8834419;0.875528;0.87925977;-0.31645525;-1.7507063;2.959189;1.0197058;-0.058539834;0.58555853;-0.0017772778;0.3806832;-0.09206294;-0.44044235;0.5958499;1.1740249;0.21258399;0.18293002;0.9872747;-0.08275154;0.7880781;0.012675739;0.40793484;-1.0243946;-0.70257246;31.78;0
1148;0.95482415;-0.5637591;0.29959023;0.6444641;-0.8642717;-0.7587182;0.074151315;-0.1230723;0.72273916;-0.31919086;-0.8245701;-0.122689866;-1.1724256;0.18457305;-0.0031750258;-0.233587;0.14714794;-0.58833104;0.31295264;0.1275413;-0.16315947;-0.68461406;-0.09789114;0.4156413;0.3125724;0.48998538;-0.07607901;0.032734375;158;0
115691;-1.5502727;1.0886885;-2.3933876;1.0087327;-1.0875618;-1.1046023;-2.6705034;0.14765468;-0.97862554;-3.5141332;3.5860424;-4.053358;0.86242604;-5.765823;-0.507511;-4.921865;-9.567267;-2.772974;1.7170953;0.32749045;0.802316;1.0371048;0.09581542;-0.3201909;-0.08073063;0.09101169;0.024928493;-0.07781998;17.06;1
115792;-1.912259;-0.45944637;0.4446088;-0.63291377;-0.393479;2.1503263;1.0178823;0.50818926;0.020283097;-0.68939143;0.64844936;0.19765478;-0.48625565;0.24075525;0.8217546;0.20110914;-0.33554268;-0.25897667;-1.0142071;-0.4288137;0.25010926;1.0009379;-0.3993068;-1.5594703;-0.35008973;0.44501576;-0.15731595;-0.328279;346.9;0
11629;-3.891192;7.098916;-11.426467;8.607556;-2.0657063;-2.985288;-8.13859;2.973928;-6.2727904;-13.193415;11.619723;-17.631607;-0.3551944;-18.822086;-1.2831291;-10.031096;-15.227008;-5.322009;-0.50175065;1.382619;1.7570852;-0.18970916;-0.50862926;-1.1893082;1.1885365;0.6052419;1.8815287;0.8752604;1;1
11635;0.9191365;4.1996326;-7.5356064;7.4269404;1.1182153;-2.8867223;-1.341036;0.36393327;-2.2032244;-4.1378403;4.5701127;-7.6291695;1.7339175;-9.440375;-0.02335335;-1.2339582;1.6320089;1.3157345;-0.28718886;0.53543466;0.3160936;0.055179227;0.21069215;-0.41791788;-0.9111883;0.46652392;0.62739325;0.15785128;1;1
117065;0.326298;0.08199606;0.33620495;-1.6889758;-0.33865833;-0.84518373;0.8750154;-0.55129045;1.0501256;-0.63894516;-0.6659248;0.8971062;1.6810877;-0.6801923;0.29512832;0.09205662;-0.96565944;0.023704657;-0.2797547;-0.04439542;0.40280545;1.5766802;0.28065783;0.16196267;-2.2104821;0.2900974;0.093534;0.1220125;94.5;0
118177;-1.1764873;1.4756802;-1.3415421;-0.32907626;-0.8026465;-0.32904732;2.6717339;-1.0017619;0.88968277;0.5198776;-0.2106907;-0.37348652;0.14477473;-1.51223;0.9214483;-0.036469914;0.22991467;0.464219;-0.27386102;-0.29523173;0.02821541;1.0730425;-0.17428438;-0.071294926;-0.27687487;-0.20759378;-0.13046747;0.14300609;314.56;0
118532;-5.9614573;5.3133817;-6.67432;6.028975;-1.3875599;0.67063844;-4.1289873;-4.765894;-1.0052592;0.45350507;4.4317365;-5.1427364;-1.1816921;-8.755449;1.0043557;-2.0650256;-3.2614353;0.12522332;0.9369662;-1.116581;5.5566425;-1.5018077;1.3551724;0.14109321;0.07791341;0.47398835;0.28712878;1.4686534;105.89;1
118603;-6.6772118;5.5292993;-7.1932745;6.0813212;-1.636071;0.5006096;-4.6407704;-4.3398395;-0.9500364;0.56667984;4.315076;-4.9382834;-1.1057098;-8.490812;1.0036258;-1.9491233;-3.0930126;0.12408707;0.88674694;-1.1186868;5.5633006;-1.608272;0.9653216;0.16371799;0.04753087;0.4661648;0.27854675;1.4719881;105.89;1
