#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=V1:R4:0
#@   col=V2:R4:1
#@   col=V3:R4:2
#@   col=V4:R4:3
#@   col=V5:R4:4
#@   col=V6:R4:5
#@   col=V7:R4:6
#@   col=V8:R4:7
#@   col=V9:R4:8
#@   col=V10:R4:9
#@   col=V11:R4:10
#@   col=V12:R4:11
#@   col=V13:R4:12
#@   col=V14:R4:13
#@   col=V15:R4:14
#@   col=V16:R4:15
#@   col=V17:R4:16
#@   col=V18:R4:17
#@   col=V19:R4:18
#@   col=V20:R4:19
#@   col=V21:R4:20
#@   col=V22:R4:21
#@   col=V23:R4:22
#@   col=V24:R4:23
#@   col=V25:R4:24
#@   col=V26:R4:25
#@   col=V27:R4:26
#@   col=V28:R4:27
#@   col=Amount:R4:28
#@   col=Label:BL:29
#@   col=Features:R4:30-58
#@   col=FeaturesNormalized:R4:59-87
#@ }
V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Label;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount
-19.641857;14.706335;-22.801237;12.114672;-14.898112;0.8407777;-28.011293;-11.919639;-8.960921;-18.913244;4.9712486;-12.686308;-1.0714431;-7.38337;-2.9924302;-8.582309;-13.806568;-6.0003586;1.4226316;3.834649;-8.228874;3.3181777;2.5852122;0.19500858;-1.194803;0.03842294;-4.126746;-0.64532924;2.28;1;-19.641857;14.706335;-22.801237;12.114672;-14.898112;0.8407777;-28.011293;-11.919639;-8.960921;-18.913244;4.9712486;-12.686308;-1.0714431;-7.38337;-2.9924302;-8.582309;-13.806568;-6.0003586;1.4226316;3.834649;-8.228874;3.3181777;2.5852122;0.19500858;-1.194803;0.03842294;-4.126746;-0.64532924;2.28;-3.1513793;3.4176724;-3.0957425;3.0399904;-3.2105696;0.43899798;-4.138948;-2.2516553;-3.3258862;-3.5220642;1.4790325;-2.3087902;-1.0212752;-1.2599292;-3.013146;-2.1567502;-2.0373878;-2.2893388;1.1079104;3.406504;-2.615076;2.6188984;2.0378094;0.35360593;-1.7190565;0.08098002;-4.0707817;-1.3900092;0.009707154
-22.341888;15.536134;-22.865229;7.0433736;-14.183129;-0.46314487;-28.215113;-14.607791;-9.481457;-20.949192;4.7395825;-11.924954;-1.5014111;-3.8367815;-2.7203288;-8.880106;-15.825136;-6.7504253;-0.12918815;4.100019;-9.110422;4.158895;1.4129285;0.38280067;0.44715396;-0.6328163;-4.380154;-0.46786287;1;1;-22.341888;15.536134;-22.865229;7.0433736;-14.183129;-0.46314487;-28.215113;-14.607791;-9.481457;-20.949192;4.7395825;-11.924954;-1.5014111;-3.8367815;-2.7203288;-8.880106;-15.825136;-6.7504253;-0.12918815;4.100019;-9.110422;4.158895;1.4129285;0.38280067;0.44715396;-0.6328163;-4.380154;-0.46786287;1;-3.5845778;3.610513;-3.1044307;1.7674261;-3.0564895;-0.24182333;-4.1690645;-2.7594554;-3.5190852;-3.9012027;1.4101079;-2.1702309;-1.431111;-0.6547245;-2.7391608;-2.2315872;-2.335261;-2.5755146;-0.10060854;3.6422448;-2.8952255;3.2824411;1.1137495;0.6941263;0.64335537;-1.3337209;-4.320753;-1.0077549;0.0042575235
-23.984747;16.697832;-22.209875;9.584969;-16.230438;2.5963326;-33.239326;-21.56004;-10.8425255;-19.83615;3.2232327;-10.895134;-1.5234524;0.11630326;-3.0988054;-7.606425;-18.108261;-7.511866;-1.2432852;5.8045506;-12.615023;5.7740874;2.7502215;0.5134111;-1.6088037;-0.45962438;-4.626127;-0.33456072;1;1;-23.984747;16.697832;-22.209875;9.584969;-16.230438;2.5963326;-33.239326;-21.56004;-10.8425255;-19.83615;3.2232327;-10.895134;-1.5234524;0.11630326;-3.0988054;-7.606425;-18.108261;-7.511866;-1.2432852;5.8045506;-12.615023;5.7740874;2.7502215;0.5134111;-1.6088037;-0.45962438;-4.626127;-0.33456072;1;-3.8481615;3.8804853;-3.0154529;2.4052002;-3.497688;1.3556315;-4.911442;-4.072756;-4.024252;-3.6939294;0.9589675;-1.9828132;-1.4521202;0.019846475;-3.1202576;-1.9115087;-2.672174;-2.86603;-0.96823984;5.1564627;-4.0089617;4.557245;2.1678789;0.9309601;-2.3147118;-0.9687024;-4.5633903;-0.72062826;0.0042575235
-1.3641182;0.71038747;0.4142224;-0.41385442;-0.24642913;0.10887969;-0.39475998;0.767738;1.3754052;-1.5561565;-1.3914263;-2.2765963;2.5793042;1.5226837;-0.83935696;0.7730582;0.091897815;0.8424912;-0.20880656;-0.22413313;0.21494336;0.6425635;-0.29994613;-0.9707694;-0.24466583;0.58987087;-0.24629886;-0.051644932;59.9;0;-1.3641182;0.71038747;0.4142224;-0.41385442;-0.24642913;0.10887969;-0.39475998;0.767738;1.3754052;-1.5561565;-1.3914263;-2.2765963;2.5793042;1.5226837;-0.83935696;0.7730582;0.091897815;0.8424912;-0.20880656;-0.22413313;0.21494336;0.6425635;-0.29994613;-0.9707694;-0.24466583;0.58987087;-0.24629886;-0.051644932;59.9;-0.2188619;0.16509019;0.05623931;-0.103850394;-0.053105913;0.056849707;-0.058329724;0.145028;0.5104878;-0.28979075;-0.4139734;-0.4143194;2.4585342;0.25983715;-0.8451676;0.19427095;0.013561046;0.32143876;-0.16261339;-0.19910829;0.06830743;0.5071484;-0.23643437;-1.7602806;-0.35201985;1.2432092;-0.24295871;-0.11124079;0.25502566
-1.4653157;-1.0933769;-0.05976785;1.0647846;11.095089;-5.430971;-9.378025;-0.44645613;1.9921097;1.7859218;1.3685845;-1.4716966;-0.72475886;3.442422;-0.95740324;-1.6261294;1.4182149;-1.4179168;-1.6517662;-1.4576102;1.1606233;-1.2596968;-15.981649;-0.8836699;-3.5367162;-0.5929649;0.67552483;0.42484936;0.92;1;-1.4653157;-1.0933769;-0.05976785;1.0647846;11.095089;-5.430971;-9.378025;-0.44645613;1.9921097;1.7859218;1.3685845;-1.4716966;-0.72475886;3.442422;-0.95740324;-1.6261294;1.4182149;-1.4179168;-1.6517662;-1.4576102;1.1606233;-1.2596968;-15.981649;-0.8836699;-3.5367162;-0.5929649;0.67552483;0.42484936;0.92;-0.23509821;-0.25409484;-0.008114729;0.26719132;2.3910112;-2.8356905;-1.3856968;-0.0843369;0.7393804;0.33257812;0.40717757;-0.2678351;-0.6908237;0.5874293;-0.9640311;-0.40864933;0.20928112;-0.540983;-1.2863548;-1.2948656;0.3688376;-0.9942258;-12.597632;-1.6023444;-5.08855;-1.2497302;0.6663638;0.9151058;0.0039169216
1.9639171;-0.12762012;-0.10180905;0.6572214;-0.52575666;-0.5956088;-0.4698876;-0.21217322;2.3905952;-0.5784226;0.381672;-1.3538964;2.8651981;1.1803727;-0.16258131;0.05153631;0.18225116;-0.14906849;-0.3611471;-0.18890278;-0.30693993;-0.43808815;0.37076238;-0.08752271;-0.43121633;-0.66235805;0.01757593;-0.03381417;14.99;0;1.9639171;-0.12762012;-0.10180905;0.6572214;-0.52575666;-0.5956088;-0.4698876;-0.21217322;2.3905952;-0.5784226;0.381672;-1.3538964;2.8651981;1.1803727;-0.16258131;0.05153631;0.18225116;-0.14906849;-0.3611471;-0.18890278;-0.30693993;-0.43808815;0.37076238;-0.08752271;-0.43121633;-0.66235805;0.01757593;-0.03381417;14.99;0.31509483;-0.02965822;-0.013822697;0.16491958;-0.11330149;-0.31098714;-0.06943058;-0.040080156;0.8872801;-0.10771508;0.11355402;-0.24639657;2.7310417;0.20142375;-0.16370681;0.01295117;0.026894178;-0.05687465;-0.28125244;-0.16781145;-0.09754326;-0.34576458;0.2922557;-0.15870352;-0.6204246;-1.395983;0.017337577;-0.07283415;0.06382027
-25.825983;19.167238;-25.39023;11.125435;-16.682644;3.9336994;-37.06031;-28.759798;-11.126623;-23.228254;3.7859771;-10.522494;-2.6574965;-3.7927954;-4.4989448;-6.5578732;-12.867245;-5.8045907;-1.2544653;7.907378;-16.922016;5.703684;3.5100188;0.054330226;-0.6719833;-0.20943137;-4.9500217;-0.44841278;2.28;1;-25.825983;19.167238;-25.39023;11.125435;-16.682644;3.9336994;-37.06031;-28.759798;-11.126623;-23.228254;3.7859771;-10.522494;-2.6574965;-3.7927954;-4.4989448;-6.5578732;-12.867245;-5.8045907;-1.2544653;7.907378;-16.922016;5.703684;3.5100188;0.054330226;-0.6719833;-0.20943137;-4.9500217;-0.44841278;2.28;-4.143573;4.454362;-3.4472523;2.7917566;-3.5951393;2.0539153;-5.4760303;-5.4328117;-4.129696;-4.3256145;1.1263937;-1.9149963;-2.5330653;-0.6472185;-4.53009;-1.6480057;-1.8987752;-2.2146468;-0.97694665;7.0245056;-5.3776927;4.501678;2.7667937;0.09851613;-0.9668349;-0.44139665;-4.8828926;-0.9658603;0.009707154
-1.0257721;0.8050962;1.1869885;1.0910074;-0.038024385;0.27323475;-0.26116735;0.6369028;1.2239857;-0.73554707;-0.5079816;-3.3170984;0.55776346;1.965307;0.5501115;0.1488975;0.53949094;1.1227138;0.0486181;0.12642922;0.16508497;0.54039705;-0.08641604;0.49967062;-0.014221115;-0.4137994;0.27112305;0.10347213;53.3;0;-1.0257721;0.8050962;1.1869885;1.0910074;-0.038024385;0.27323475;-0.26116735;0.6369028;1.2239857;-0.73554707;-0.5079816;-3.3170984;0.55776346;1.965307;0.5501115;0.1488975;0.53949094;1.1227138;0.0486181;0.12642922;0.16508497;0.54039705;-0.08641604;0.49967062;-0.014221115;-0.4137994;0.27112305;0.10347213;53.3;-0.16457695;0.18709998;0.16115838;0.2737715;-0.008194322;0.14266494;-0.03859008;0.12031285;0.45428777;-0.13697512;-0.15113331;-0.6036811;0.53164744;0.33536822;0.55391973;0.037418216;0.079610825;0.42835313;0.037862577;0.11231317;0.052462798;0.4265127;-0.068117976;0.9060447;-0.02046103;-0.8721218;0.26744625;0.22287416;0.226926
-28.255053;21.467203;-26.871338;11.737436;-17.99963;6.0659013;-41.506798;-38.987263;-13.434067;-24.403185;3.4093227;-9.608268;-3.076318;0.24006036;-2.8366768;-6.594757;-12.957531;-5.613522;-0.2488284;10.440718;-21.453735;8.361985;4.909111;0.09832794;-1.5087391;0.008711291;-5.4078236;-0.18381104;0;1;-28.255053;21.467203;-26.871338;11.737436;-17.99963;6.0659013;-41.506798;-38.987263;-13.434067;-24.403185;3.4093227;-9.608268;-3.076318;0.24006036;-2.8366768;-6.594757;-12.957531;-5.613522;-0.2488284;10.440718;-21.453735;8.361985;4.909111;0.09832794;-1.5087391;0.008711291;-5.4078236;-0.18381104;0;-4.533298;4.988861;-3.6483433;2.945329;-3.878952;3.1672087;-6.1330433;-7.3648105;-4.986114;-4.5444126;1.0143325;-1.7486155;-2.9322765;0.040964905;-2.8563144;-1.6572747;-1.9120984;-2.1417477;-0.19378142;9.274994;-6.81784;6.599764;3.8696368;0.17829648;-2.1707408;0.018359879;-5.334486;-0.39592043;0
-2.2969875;4.0640435;-5.9577065;4.680008;-2.0809376;-1.4632722;-4.4908466;1.0292463;-1.5932492;-8.993811;7.8644676;-10.649839;1.826591;-12.913631;-0.7663303;-7.9540977;-7.809635;-1.7185112;3.8329852;1.2649539;1.0890841;0.9753978;-0.62553036;-0.5351809;0.24743503;0.16039951;0.9695816;0.33504128;104;1;-2.2969875;4.0640435;-5.9577065;4.680008;-2.0809376;-1.4632722;-4.4908466;1.0292463;-1.5932492;-8.993811;7.8644676;-10.649839;1.826591;-12.913631;-0.7663303;-7.9540977;-7.809635;-1.7185112;3.8329852;1.2649539;1.0890841;0.9753978;-0.62553036;-0.5351809;0.24743503;0.16039951;0.9695816;0.33504128;104;-0.36853334;0.9444616;-0.80888265;1.1743759;-0.44844574;-0.76402307;-0.66356736;0.19442771;-0.5913416;-1.6748464;2.3398151;-1.9381719;1.741065;-2.2036362;-0.7716354;-1.9988796;-1.1524411;-0.6556699;2.9850342;1.1237196;0.34610298;0.76984054;-0.49307814;-0.97043496;0.35600412;0.3380573;0.95643276;0.72166336;0.44278243
